index,residual,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
1.000000000000000000e+01,1.723017376351818064e-01,1.181626183182239304e-01,-5.800809314043633980e-02,4.018827062561964869e-01,-4.071976602379305879e-03,3.968869301461996207e-02,7.801291993465141184e-02,1.786939231189496047e-01,1.006654451682368057e-01
1.100000000000000000e+01,1.124502804958256719e-01,1.205058238970629775e-01,1.082990361124588387e-02,5.391963020786151306e-01,-4.537747323866379856e-02,3.988469361897655635e-02,7.140049048192848025e-02,1.229437104609377579e-01,5.228789997919133098e-02
1.200000000000000000e+01,2.371081241458332656e-01,1.245890096442746064e-01,-2.622356564596076134e-01,6.423575946391190117e-01,-8.077593883446355927e-02,4.001237899981071461e-02,7.904191009798598733e-02,1.621651795784794514e-01,9.797240305648345637e-02
1.300000000000000000e+01,1.031462049329300579e-01,1.180528487026823725e-01,-6.416881139652184929e-02,3.765339437141281831e-01,1.305650824982674749e-02,3.966874182076290251e-02,7.556720062186819686e-02,1.753274900991160512e-01,9.986904648952091290e-02
1.400000000000000000e+01,-1.245301467796542938e-01,1.155437743660772676e-01,-1.469185436975940229e-01,6.030165678361022463e-01,-5.714006548657098866e-02,3.956374759578680511e-02,8.584528082573003593e-02,1.319129370384970468e-01,7.434649959418657139e-02
1.500000000000000000e+01,2.194929842002039666e-01,1.246976825315058712e-01,-2.930464881092010310e-01,7.937587071946452522e-01,-6.488208913241165499e-02,4.020727605456845405e-02,7.322369618298671390e-02,1.499815730130295011e-01,7.945252514774427122e-02
1.600000000000000000e+01,7.990195117038147998e-01,1.181521253509062591e-01,1.682800792090374462e-02,5.201769774902564869e-01,-2.226694125870617991e-02,3.969775158845756380e-02,7.410930828270947957e-02,8.275444321438923945e-02,6.556222889341460636e-02
1.700000000000000000e+01,-6.645084943069518024e-02,1.305227873541775496e-01,-1.199183419967880110e-01,6.564339848890110574e-01,-2.758336022378890529e-03,4.022930949197021933e-02,8.016040959965044232e-02,1.225255542518164653e-01,8.176734762868020923e-02
1.800000000000000000e+01,-3.838839566099749856e-01,1.300867284429487736e-01,-1.150780668165129472e-01,5.188873603648433974e-01,4.305261962593245895e-03,4.023662710856546615e-02,7.962117410505296922e-02,1.590781834789828930e-01,8.329191282176552635e-02
1.900000000000000000e+01,-3.423130249557290172e-01,1.194011502591093704e-01,-9.968137939991279436e-03,5.186354595853076566e-01,-8.053330006402088792e-02,3.972917479059290269e-02,7.735439123999017508e-02,1.568517781299337555e-01,7.783003617205069835e-02
2.000000000000000000e+01,-2.529682247501766068e-01,1.176793613468318511e-01,-5.458173913047235926e-02,3.094772477563295099e-01,3.210385900219675515e-02,3.963109020784061354e-02,7.043539443960786239e-02,1.529186404539228383e-01,8.313248241920388748e-02
2.100000000000000000e+01,-1.056303184413120710e-01,1.149015637127858147e-01,-1.523627479257034789e-01,5.114799764190925968e-01,-2.642027582994348894e-02,3.958498344201123037e-02,8.454404772784095135e-02,1.475198749595131031e-01,6.625879122303149349e-02
2.200000000000000000e+01,-3.863407639286913775e-01,1.214853913845751615e-01,-7.131562262040024025e-02,6.296905592106105676e-01,-2.275911009918835104e-02,4.003646292173668880e-02,7.350255841291873649e-02,1.784626341110757963e-01,8.940691887383774017e-02
2.300000000000000000e+01,-2.950248030742252503e+00,1.295444230747815340e-01,-3.939884186565215107e-01,8.658329168186955638e-01,-1.941817337221352913e-01,4.011140368349269680e-02,6.710509832597079394e-02,4.855921915139101847e-02,5.893942984272895758e-02
2.400000000000000000e+01,-2.870840224492379744e-01,1.205413793180881293e-01,1.761038275024775883e-03,3.312683388067668711e-01,-6.420407271907142832e-02,4.001918501067409234e-02,6.900404466496265488e-02,1.442683475361220269e-01,5.380146504153308917e-02
2.500000000000000000e+01,7.763148294957093742e-02,1.149632719362221889e-01,-1.535239015772778826e-01,5.127884772412666381e-01,-2.671021998645849507e-02,3.957861437103732394e-02,8.332914081464400102e-02,1.401149374709355910e-01,6.593421623438250334e-02
2.600000000000000000e+01,-8.963094548565659903e-01,1.244609124416059809e-01,-4.893392460666973198e-01,9.098242879122694360e-01,-1.584215627325110121e-01,4.011717886399005645e-02,6.245613577557468377e-02,8.146162510784565880e-02,5.324374967704580131e-02
2.700000000000000000e+01,-1.851705846646203579e-01,1.230606449385329287e-01,-2.551227828020094512e-01,5.341170410929229062e-01,6.391276437113148357e-02,4.005382771532848413e-02,8.246029845508867639e-02,1.495965045306314189e-01,1.035866706927278530e-01
