index,residual,b_intercept,b_nbaths,b_nbeds,b_area,b_age,se_intercept,se_nbaths,se_nbeds,se_area,se_age
1.000000000000000000e+01,3.296707273446564557e+01,1.364857783103877296e+02,2.076939647588475424e+01,-2.937307710498204827e-01,5.690760327105411076e-02,-1.219864763660902351e+00,9.492272489979385053e-02,6.744873274516635653e-02,1.574917440140515823e-01,2.544943786576098991e-04,1.146994172882855392e-02
1.100000000000000000e+01,1.812529110647696129e+01,1.750389642227040667e+02,2.128272506570910139e+01,-2.301699232084017943e+00,1.029800191358014039e-01,-2.431881319577362532e-01,9.363540699432777725e-02,6.778475204230863249e-02,1.429567850872328905e-01,1.857781908257220274e-04,6.282204667556074221e-03
1.200000000000000000e+01,7.709069639313833022e+01,1.499137097229151152e+02,2.213010017021631270e+01,-4.913865286671645549e+01,1.417066674827129336e-01,2.824533672020989039e-01,1.031321476412523225e-01,6.797341309848095592e-02,1.588559303813544821e-01,2.475878102555695748e-04,1.464672143915634120e-02
1.300000000000000000e+01,4.965251892285854751e+01,1.372567138111182885e+02,2.075325191235132039e+01,-1.795378603402802753e+00,5.066748909104690224e-02,-1.196002346353897572e+00,9.451010044776163299e-02,6.741762587568128628e-02,1.534974014323265967e-01,2.575879544870640788e-04,1.131422929571379576e-02
1.400000000000000000e+01,-3.549915278769705651e+01,1.435967886187315798e+02,2.034675992631283492e+01,-2.511116033153884430e+01,1.080727724925005379e-01,-2.305103358500507404e+00,1.116175579366097681e-01,6.728012723384743654e-02,1.814923923814003304e-01,2.367804326808963130e-04,9.752324056022909984e-03
1.500000000000000000e+01,5.273882760784407253e+01,1.798215600566797150e+02,2.221764908846303754e+01,-6.034197938510403958e+01,1.645663460256694965e-01,-1.261522896429732921e+00,9.542622339247770757e-02,6.826582666591379800e-02,1.458584648584249077e-01,2.266497248722421098e-04,1.097076718275615675e-02
1.600000000000000000e+01,1.292755797861274800e+02,1.721926267498371885e+02,2.083751710076951724e+01,7.796996558793011012e+00,1.083741970765995238e-01,-2.327914585966816219e+00,9.810008429027240739e-02,6.749155550602081721e-02,1.517209358601365743e-01,1.636968137268312098e-04,1.198444803102070161e-02
1.700000000000000000e+01,6.896611386832088186e+00,1.406800891942306180e+02,2.350332992058404002e+01,-2.737532739008579696e+01,1.353954425073617407e-01,-1.879382861608598576e+00,1.075130457020932601e-01,6.829693392020505516e-02,1.572382626449467524e-01,1.876606943171421399e-04,1.410956221459834341e-02
1.800000000000000000e+01,-5.851951483461844106e+01,1.412683216283313357e+02,2.340760566582527247e+01,-2.714045926365488981e+01,9.470716332276364613e-02,-1.379354387386188874e+00,1.052239519785365257e-01,6.830710531987184420e-02,1.564471928657080180e-01,2.425897602536775620e-04,1.300034338478534175e-02
1.900000000000000000e+01,-5.318273918226940111e+01,1.400594956432669278e+02,2.100330284360425637e+01,1.938671546629056497e+00,8.657985820247414421e-02,-1.746517182989341110e+00,1.012521576480193419e-01,6.751286344726795119e-02,1.534355853613862120e-01,2.509046450736043235e-04,1.200739450942637371e-02
2.000000000000000000e+01,-3.014355243291206321e+01,1.422647646522411264e+02,2.069509836993778507e+01,-5.953106380444910251e+00,5.003288810112480750e-02,6.725468843633215787e-02,9.686107712546006276e-02,6.736106537670716321e-02,1.434026351499918805e-01,2.351311498023558454e-04,1.672130892107810338e-02
2.100000000000000000e+01,-1.211681423637909560e+01,1.458127479053022171e+02,2.025092549995087410e+01,-2.067077719900371591e+01,1.146980219054278272e-01,-1.067641463367115184e+00,1.142035399638032522e-01,6.733047005607779856e-02,1.779803081718264457e-01,2.376434080103426627e-04,9.688721597920094478e-03
2.200000000000000000e+01,-6.685465734535675608e+01,1.319521054778825828e+02,2.134694733149103740e+01,-1.114977860397505616e+01,7.264411776367679652e-02,-2.169761033137404538e-01,1.021532993038881398e-01,6.800674462888360583e-02,1.484951265363983475e-01,2.393962860184369176e-04,1.358296071132384514e-02
2.300000000000000000e+01,-6.125796121190621761e+02,2.297117955265837566e+02,2.327586727872787264e+01,-7.367463722807764270e+01,1.918504479973978383e-01,-1.252495118901602256e+00,1.058704640406754466e-01,6.811763743518590986e-02,1.382444568167454368e-01,9.644711110351100096e-05,7.638094671881685491e-03
2.400000000000000000e+01,-6.314350418960036393e+01,1.774712579594656745e+02,2.136767159971032370e+01,-2.191245998725331212e+00,8.096603767137267038e-02,-8.763195481689692867e-01,9.594327969891747188e-02,6.802427885825663989e-02,1.408833767230635581e-01,1.960160396670302145e-04,7.481929739684427434e-03
2.500000000000000000e+01,4.542895121953495163e+01,1.454978301232749800e+02,2.025834383867487531e+01,-2.126199889502957063e+01,1.121602546177749155e-01,-1.045328023554564112e+00,1.138663008844504054e-01,6.731746581082789782e-02,1.755926544186568461e-01,2.345892208393916410e-04,9.422237115919725181e-03
2.600000000000000000e+01,-1.934212617070546116e+02,1.846461887968591498e+02,2.212112732351470967e+01,-1.097295697329032009e+02,1.943151624850981141e-01,-1.728488109466962630e+00,9.828893181424476488e-02,6.812281230413354260e-02,1.252535043649990465e-01,1.369698016520690500e-04,7.100225959500877128e-03
2.700000000000000000e+01,-1.016507319969191769e+01,1.467299385812661399e+02,2.177786432921532978e+01,-5.188825979546214739e+01,1.133734483817667171e-01,2.595990635241400835e-01,1.063667276833237113e-01,6.804841459242187696e-02,1.672380875150920321e-01,2.457218213107268540e-04,1.550828060818929856e-02
2.800000000000000000e+01,-2.902882877396845629e+01,1.796013109622163313e+02,2.201945262467378228e+01,-8.151843843422041402e+01,1.867926411941490117e-01,-9.829102748081389729e-01,9.508408056548735277e-02,6.812415181425808541e-02,1.274798803046566509e-01,1.486659282823932281e-04,6.857344936293459890e-03
2.900000000000000000e+01,4.715492460265802777e+01,1.788586610541098594e+02,2.222026925807465147e+01,-4.187769442213372173e+01,1.600174667153855534e-01,-2.052169177835151626e+00,9.778871788112047936e-02,6.833265941858439330e-02,1.493093164144635443e-01,2.228391389549588797e-04,1.131533140061713461e-02
3.000000000000000000e+01,-8.167620322300899716e+01,1.752876361568478103e+02,2.249953459539294087e+01,-3.195224976800288985e+01,1.461860024602690822e-01,-2.058540120425050635e+00,9.295007277608496876e-02,6.833128488441564397e-02,1.452595271975909708e-01,2.276191273789844257e-04,1.168132983225280558e-02
